"","apply(Filter_perClass, 1, mean)"
"V252",0.586624710648148
"V253",0.565321180555556
"V254",0.59056712962963
"V255",0.585431134259259
"V256",0.572627314814815
"V257",0.59765625
"V258",0.596571180555556
"V259",0.568178530092593
"V260",0.551179108796296
"V261",0.519513165509259
"V262",0.561885127314815
"V263",0.571686921296296
"V264",0.565339265046296
"V265",0.548538773148148
"V266",0.551106770833333
"V267",0.544958043981482
"V268",0.561197916666667
"V269",0.563657407407407
"V270",0.563187210648148
"V271",0.585431134259259
"V272",0.525752314814815
"V273",0.558666087962963
"V274",0.559461805555556
"V275",0.554253472222222
"V276",0.540075231481482
"V277",0.540075231481482
"V278",0.53052662037037
"V279",0.549605758101852
"V280",0.569155092592593
"V281",0.564814814814815
"V282",0.551793981481481
"V283",0.560185185185185
"V284",0.549045138888889
"V285",0.564814814814815
"V286",0.560185185185185
"V287",0.574074074074074
"V288",0.569444444444444
"V289",0.564814814814815
"V290",0.550654658564815
"V291",0.516637731481482
"V292",0.550654658564815
"V293",0.569444444444444
"V294",0.587962962962963
"V295",0.597222222222222
"V296",0.578703703703704
"V297",0.594744646990741
"V298",0.578703703703704
"V299",0.606481481481482
"V300",0.645616319444444
"V301",0.597222222222222
"V302",0.651475694444444
"V303",0.652126736111111
"V304",0.670988859953704
"V305",0.65697337962963
"V306",0.684696903935185
"V307",0.65697337962963
"V308",0.64820240162037
"V309",0.653790509259259
"V310",0.641872829861111
"V311",0.624493634259259
"V312",0.623842592592593
"V313",0.642596209490741
"V314",0.610677083333333
"V315",0.596209490740741
"V316",0.611038773148148
"V317",0.620695891203704
"V318",0.609718605324074
"V319",0.527271412037037
"V320",0.554488570601852
"V321",0.592068142361111
"V322",0.577275028935185
"V323",0.58251953125
"V324",0.598777488425926
"V325",0.586552372685185
"V326",0.56566478587963
"V327",0.566370081018518
"V328",0.560438368055556
"V329",0.576461226851852
"V330",0.597258391203704
"V331",0.580367476851852
"V332",0.576877170138889
"V333",0.567599826388889
"V334",0.568287037037037
"V335",0.567853009259259
"V336",0.570601851851852
"V337",0.555266203703704
"V338",0.567093460648148
"V339",0.554108796296296
"V340",0.567672164351852
"V341",0.604618778935185
"V342",0.580295138888889
"V343",0.548900462962963
"V344",0.549949363425926
"V345",0.582320601851852
"V346",0.546079282407407
"V347",0.572735821759259
"V348",0.590928819444444
"V349",0.614402488425926
"V350",0.622540509259259
"V351",0.599717881944444
"V352",0.600658275462963
"V353",0.614402488425926
"V354",0.603877314814815
"V355",0.6396484375
"V356",0.601707175925926
"V357",0.587022569444444
"V358",0.538447627314815
"V359",0.543963396990741
"V360",0.536711516203704
"V361",0.5498046875
"V362",0.564814814814815
"V363",0.560474537037037
"V364",0.592918113425926
"V365",0.563548900462963
"V366",0.59447337962963
"V367",0.523582175925926
"V368",0.523582175925926
"V369",0.532190393518518
"V370",0.558720341435185
"V371",0.544325086805556
"V372",0.539641203703704
"V373",0.580512152777778
"V374",0.598958333333333
"V375",0.573947482638889
"V376",0.617874710648148
"V377",0.52662037037037
"V378",0.565104166666667
"V379",0.546440972222222
"V380",0.585666232638889
"V381",0.540256076388889
"V382",0.569878472222222
"V383",0.577256944444445
"V384",0.588541666666667
"V385",0.588541666666667
"V386",0.608796296296296
"V387",0.61302806712963
"V388",0.635904947916667
"V389",0.622088396990741
"V390",0.609881365740741
"V391",0.609881365740741
"V392",0.587420428240741
"V393",0.568865740740741
"V394",0.575086805555555
"V395",0.586805555555556
"V396",0.612847222222222
"V397",0.59693287037037
